#-- wg5iii
#\*l[Angstrom]	F(\*l)/F(555.6Angstrom]
1150.0	0.000000
1155.0	0.000000
1160.0	0.000000
1165.0	0.000000
1170.0	0.000000
1175.0	0.000000
1180.0	0.000000
1185.0	0.000000
1190.0	0.000000
1195.0	0.000000
1200.0	0.000000
1205.0	0.000000
1210.0	0.000000
1215.0	0.000000
1220.0	0.000000
1225.0	0.000000
1230.0	0.000000
1235.0	0.000000
1240.0	0.000000
1245.0	0.000000
1250.0	0.000000
1255.0	0.000000
1260.0	0.000000
1265.0	0.000000
1270.0	0.000000
1275.0	0.000000
1280.0	0.000000
1285.0	0.000000
1290.0	0.000000
1295.0	0.000000
1300.0	0.000000
1305.0	0.000000
1310.0	0.000000
1315.0	0.000000
1320.0	0.000000
1325.0	0.000000
1330.0	0.000000
1335.0	0.000000
1340.0	0.000000
1345.0	0.000000
1350.0	0.000000
1355.0	0.000000
1360.0	0.000000
1365.0	0.000000
1370.0	0.000000
1375.0	0.000000
1380.0	0.000000
1385.0	0.000000
1390.0	0.000000
1395.0	0.000000
1400.0	0.000000
1405.0	0.000000
1410.0	0.000000
1415.0	0.000000
1420.0	0.000000
1425.0	0.000000
1430.0	0.000000
1435.0	0.000000
1440.0	0.000000
1445.0	0.000000
1450.0	0.000000
1455.0	0.000000
1460.0	0.000000
1465.0	0.000000
1470.0	0.000000
1475.0	0.000000
1480.0	0.000000
1485.0	0.000000
1490.0	0.000000
1495.0	0.000000
1500.0	0.000000
1505.0	0.000000
1510.0	0.000000
1515.0	0.000000
1520.0	0.000000
1525.0	0.000000
1530.0	0.000000
1535.0	0.000000
1540.0	0.000000
1545.0	0.000000
1550.0	0.000000
1555.0	0.000000
1560.0	0.000000
1565.0	0.000000
1570.0	0.000000
1575.0	0.000000
1580.0	0.000000
1585.0	0.000000
1590.0	0.000000
1595.0	0.000000
1600.0	0.000000
1605.0	0.000000
1610.0	0.000000
1615.0	0.000000
1620.0	0.000000
1625.0	0.000000
1630.0	0.000000
1635.0	0.000000
1640.0	0.000000
1645.0	0.000000
1650.0	0.000000
1655.0	0.000000
1660.0	0.000000
1665.0	0.000000
1670.0	0.000000
1675.0	0.000000
1680.0	0.000000
1685.0	0.000000
1690.0	0.000000
1695.0	0.000000
1700.0	0.000000
1705.0	0.000000
1710.0	0.000000
1715.0	0.000000
1720.0	0.000001
1725.0	0.000001
1730.0	0.000001
1735.0	0.000001
1740.0	0.000001
1745.0	0.000000
1750.0	0.000000
1755.0	0.000000
1760.0	0.000000
1765.0	0.000000
1770.0	0.000000
1775.0	0.000000
1780.0	0.000000
1785.0	0.000000
1790.0	0.000000
1795.0	0.000000
1800.0	0.000000
1805.0	0.000002
1810.0	0.000004
1815.0	0.000006
1820.0	0.000008
1825.0	0.000009
1830.0	0.000010
1835.0	0.000009
1840.0	0.000008
1845.0	0.000005
1850.0	0.000000
1855.0	0.000000
1860.0	0.000000
1865.0	0.000000
1870.0	0.000000
1875.0	0.000000
1880.0	0.000000
1885.0	0.000000
1890.0	0.000000
1895.0	0.000000
1900.0	0.000000
1905.0	0.000024
1910.0	0.000052
1915.0	0.000080
1920.0	0.000106
1925.0	0.000125
1930.0	0.000133
1935.0	0.000129
1940.0	0.000107
1945.0	0.000066
1950.0	0.000000
1955.0	0.000000
1960.0	0.000000
1965.0	0.000000
1970.0	0.000000
1975.0	0.000000
1980.0	0.000000
1985.0	0.000000
1990.0	0.000000
1995.0	0.000000
2000.0	0.000000
2005.0	0.000341
2010.0	0.000766
2015.0	0.001256
2020.0	0.001794
2025.0	0.002362
2030.0	0.002942
2035.0	0.003515
2040.0	0.004065
2045.0	0.004572
2050.0	0.005020
2055.0	0.005396
2060.0	0.005710
2065.0	0.005980
2070.0	0.006222
2075.0	0.006453
2080.0	0.006691
2085.0	0.006950
2090.0	0.007249
2095.0	0.007604
2100.0	0.008032
2105.0	0.008544
2110.0	0.009126
2115.0	0.009759
2120.0	0.010426
2125.0	0.011106
2130.0	0.011782
2135.0	0.012434
2140.0	0.013042
2145.0	0.013590
2150.0	0.014056
2155.0	0.014428
2160.0	0.014712
2165.0	0.014917
2170.0	0.015054
2175.0	0.015135
2180.0	0.015170
2185.0	0.015169
2190.0	0.015143
2195.0	0.015104
2200.0	0.015060
2205.0	0.015022
2210.0	0.014992
2215.0	0.014970
2220.0	0.014955
2225.0	0.014950
2230.0	0.014953
2235.0	0.014965
2240.0	0.014987
2245.0	0.015018
2250.0	0.015060
2255.0	0.015113
2260.0	0.015176
2265.0	0.015249
2270.0	0.015333
2275.0	0.015428
2280.0	0.015534
2285.0	0.015650
2290.0	0.015777
2295.0	0.015915
2300.0	0.016064
2305.0	0.016222
2310.0	0.016378
2315.0	0.016520
2320.0	0.016635
2325.0	0.016711
2330.0	0.016736
2335.0	0.016695
2340.0	0.016579
2345.0	0.016372
2350.0	0.016064
2355.0	0.015650
2360.0	0.015160
2365.0	0.014631
2370.0	0.014102
2375.0	0.013610
2380.0	0.013195
2385.0	0.012893
2390.0	0.012744
2395.0	0.012784
2400.0	0.013052
2405.0	0.013572
2410.0	0.014309
2415.0	0.015213
2420.0	0.016235
2425.0	0.017326
2430.0	0.018437
2435.0	0.019518
2440.0	0.020520
2445.0	0.021393
2450.0	0.022088
2455.0	0.022570
2460.0	0.022858
2465.0	0.022984
2470.0	0.022982
2475.0	0.022883
2480.0	0.022720
2485.0	0.022527
2490.0	0.022335
2495.0	0.022178
2500.0	0.022088
2505.0	0.022091
2510.0	0.022178
2515.0	0.022334
2520.0	0.022545
2525.0	0.022795
2530.0	0.023069
2535.0	0.023351
2540.0	0.023627
2545.0	0.023880
2550.0	0.024096
2555.0	0.024270
2560.0	0.024431
2565.0	0.024620
2570.0	0.024877
2575.0	0.025244
2580.0	0.025760
2585.0	0.026465
2590.0	0.027400
2595.0	0.028605
2600.0	0.030120
2605.0	0.031968
2610.0	0.034092
2615.0	0.036420
2620.0	0.038877
2625.0	0.041390
2630.0	0.043884
2635.0	0.046287
2640.0	0.048525
2645.0	0.050523
2650.0	0.052209
2655.0	0.053526
2660.0	0.054494
2665.0	0.055152
2670.0	0.055536
2675.0	0.055684
2680.0	0.055635
2685.0	0.055425
2690.0	0.055094
2695.0	0.054679
2700.0	0.054217
2705.0	0.053741
2710.0	0.053264
2715.0	0.052791
2720.0	0.052331
2725.0	0.051889
2730.0	0.051473
2735.0	0.051089
2740.0	0.050744
2745.0	0.050446
2750.0	0.050201
2755.0	0.050013
